Task,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Task A: CARE Anomaly,Random Forest,0.8287878787878789,0.8133333333333332,0.8200000000000001,0.8139393939393941,0.920079365079365
Task A: CARE Anomaly,Logistic Regression,0.7606060606060606,0.7933333333333332,0.6066666666666667,0.67,0.7284126984126983
Task A: CARE Anomaly,SVM,0.8469696969696969,0.95,0.7133333333333334,0.8077777777777777,0.8457142857142858
Task B: O&M Workability (Dominant),Random Forest,0.9136363636363637,0.0,0.0,0.0,0.9363636363636363
Task B: O&M Workability (Dominant),Logistic Regression,0.8969696969696971,0.4,0.4,0.4,0.8672727272727272
Task B: O&M Workability (Dominant),SVM,0.9318181818181819,0.4,0.4,0.4,0.5054545454545455
Task B_alt: O&M Workability (Presence),Random Forest,0.656060606060606,0.6993939393939395,0.9027777777777779,0.7863226694186447,0.49375
Task B_alt: O&M Workability (Presence),Logistic Regression,0.5348484848484849,0.7495238095238095,0.5305555555555556,0.6010480747322853,0.5289351851851851
Task B_alt: O&M Workability (Presence),SVM,0.5727272727272726,0.7214285714285714,0.6333333333333333,0.6719047619047618,0.49722222222222223
