wind_farm,shift_years,total_ais_dwells,matched_ais_dwells,match_percentage
Borkum Riffgrund 1,-1,33,20,60.60606060606061
Borkum Riffgrund 2,-2,24,14,58.333333333333336
Gode Wind 1 and 2,-2,107,58,54.20560747663551
Alpha Ventus,-2,2,1,50.0
Gode Wind 3,-1,25,11,44.0
Nordsee One,-1,21,9,42.857142857142854
Gode Wind 1 and 2,-1,107,44,41.1214953271028
Gode Wind 3,-2,25,10,40.0
Borkum Riffgrund 1,-2,33,13,39.39393939393939
Nordsee Ost,-2,262,101,38.54961832061068
Trianel Windpark Borkum 1,-1,41,15,36.58536585365854
Trianel Windpark Borkum 2,-1,6,2,33.33333333333333
Nordsee Ost,-1,262,82,31.297709923664126
Nordsee One,-2,21,6,28.57142857142857
Trianel Windpark Borkum 1,-2,41,10,24.390243902439025
Trianel Windpark Borkum 2,-2,6,1,16.666666666666664
Borkum Riffgrund 2,-1,24,3,12.5
Nordsee Ost,0,262,4,1.5267175572519083
Nordsee Ost,2,262,1,0.38167938931297707
Nordsee Ost,1,262,1,0.38167938931297707
Gode Wind 1 and 2,1,107,0,0.0
Nordsee One,2,21,0,0.0
Gode Wind 3,2,25,0,0.0
Gode Wind 1 and 2,2,107,0,0.0
Borkum Riffgrund 2,2,24,0,0.0
Borkum Riffgrund 1,2,33,0,0.0
Trianel Windpark Borkum 2,2,6,0,0.0
Trianel Windpark Borkum 1,2,41,0,0.0
Alpha Ventus,1,2,0,0.0
Nordsee One,1,21,0,0.0
Gode Wind 3,1,25,0,0.0
Gode Wind 1 and 2,0,107,0,0.0
Borkum Riffgrund 2,1,24,0,0.0
Borkum Riffgrund 1,1,33,0,0.0
Trianel Windpark Borkum 2,1,6,0,0.0
Trianel Windpark Borkum 1,1,41,0,0.0
Alpha Ventus,0,2,0,0.0
Nordsee One,0,21,0,0.0
Gode Wind 3,0,25,0,0.0
Borkum Riffgrund 2,0,24,0,0.0
Borkum Riffgrund 1,0,33,0,0.0
Trianel Windpark Borkum 2,0,6,0,0.0
Trianel Windpark Borkum 1,0,41,0,0.0
Alpha Ventus,-1,2,0,0.0
Alpha Ventus,2,2,0,0.0
