event_year,rows,nora3_hs_tp_rows,fusion_hs_tp_rows,fusion_coverage_rate,nora3_coverage_rate
2024,49663,27619,47610,0.958661377685601,0.556128304774178
2025,6354,3230,3230,0.5083412023921939,0.5083412023921939
2012,5412,3238,4433,0.8191056910569106,0.59830007390983
2018,4227,1520,4015,0.9498462266382778,0.3595930920274426
2022,4152,1480,4038,0.9725433526011561,0.35645472061657035
2017,3963,1457,2984,0.7529649255614433,0.3676507696189755
2021,3881,1343,3798,0.9786137593403762,0.34604483380572015
2019,3802,1148,3735,0.9823776959495003,0.3019463440294582
2023,3666,1216,3567,0.9729950900163666,0.33169667212220405
2020,3570,959,3500,0.9803921568627451,0.26862745098039215
2011,1911,504,1436,0.7514390371533228,0.26373626373626374
2010,1769,571,1348,0.7620124364047485,0.32278123233465233
2016,290,92,207,0.7137931034482758,0.31724137931034485
