source,dwell_tier,candidate_rows,valid_candidate_rows,valid_rate
nora3,Tier A,15264,13574,0.8892819706498952
nora3,Tier B,2301,1838,0.7987831377661886
nora3,Tier C,2350,2017,0.8582978723404255
nora3,Tier D,72745,26948,0.3704447041033748
nws,Tier A,15264,9764,0.6396750524109015
nws,Tier B,2301,1403,0.6097348978704911
nws,Tier C,2350,1285,0.5468085106382978
nws,Tier D,72745,54840,0.7538662451027562
baltic,Tier A,15264,4456,0.2919287211740042
baltic,Tier B,2301,481,0.20903954802259886
baltic,Tier C,2350,514,0.21872340425531914
baltic,Tier D,72745,27445,0.3772767887827342
