control,control_note,sea_basin,farm_count,turbine_count,observed_steady_turbine_years,high_confidence_adjusted_event_count,high_medium_adjusted_event_count,primary_intervention_intensity_per_steady_turbine_year,sensitivity_intervention_intensity_per_steady_turbine_year,median_source_coverage_share,median_success_no_ais_share_of_observed,median_skipped_missing_source_share_of_manifest,median_tier_a_high_assignment_share,median_high_confidence_top5_mmsi_share,zero_event_turbine_share_high_confidence,baltic_to_north_primary_ratio,baltic_to_north_sensitivity_ratio
baseline_all_available_proxy_controls,No direct receiver/source metadata; reports available proxy metrics only.,Baltic,17,755,6987.666666666667,1732.5,4385.0,0.24793684110098743,0.6275342269713304,0.9308075772681954,0.28055555555555556,0.07070812103566601,0.304954594017094,0.964824120603015,0.3072847682119205,6.315363193213622,5.725213922382439
baseline_all_available_proxy_controls,No direct receiver/source metadata; reports available proxy metrics only.,North Sea,99,5555,43293.33333333334,1699.6666666666665,4745.333333333334,0.0392593162919618,0.10960886972590082,0.8968311562651186,0.8666666666666667,0.10316884373488147,0.31789473684210523,1.0,0.8475247524752475,6.315363193213622,5.725213922382439
farm_source_coverage_ge_0_8,Restricts to farms with >=80% steady source-status coverage.,Baltic,14,606,6759.666666666666,1508.5,3941.0,0.22316189161201244,0.5830169140490162,0.934016133417928,0.302317880794702,0.06598386658207198,0.3176829449530377,0.964824120603015,0.2623762376237624,5.7485335823563135,5.399824693867355
farm_source_coverage_ge_0_8,Restricts to farms with >=80% steady source-status coverage.,North Sea,79,4571,42018.0,1631.1666666666665,4536.666666666666,0.03882066415980452,0.10796960033001728,0.9008264462809917,0.8757396449704142,0.09917355371900827,0.32727272727272727,1.0,0.8241085101728287,5.7485335823563135,5.399824693867355
exclude_high_observed_zero_share,Drops farms above the 75th percentile of observed-zero month share.,Baltic,16,705,6987.666666666667,1732.5,4385.0,0.24793684110098743,0.6275342269713304,0.9308075772681954,0.28055555555555556,0.07070812103566601,0.304954594017094,0.964824120603015,0.2581560283687943,4.506265292533585,4.039948902661144
exclude_high_observed_zero_share,Drops farms above the 75th percentile of observed-zero month share.,North Sea,65,3894,29858.583333333332,1642.8333333333333,4638.0,0.05502047150037817,0.15533221882038387,0.8962264150943396,0.75,0.10377358490566038,0.29213483146067415,1.0,0.7953261427837699,4.506265292533585,4.039948902661144
exclude_high_missing_source_share,Drops farms above the 75th percentile of skipped-source share.,Baltic,14,606,6759.666666666666,1508.5,3941.0,0.22316189161201244,0.5830169140490162,0.934016133417928,0.302317880794702,0.06598386658207198,0.3176829449530377,0.964824120603015,0.2623762376237624,5.7340948795257525,5.296434661408084
exclude_high_missing_source_share,Drops farms above the 75th percentile of skipped-source share.,North Sea,69,3970,39432.91666666667,1534.6666666666665,4340.666666666666,0.038918416297720804,0.11007724088377939,0.9043478260869565,0.8818181818181818,0.09565217391304348,0.3333333333333333,1.0,0.8093198992443325,5.7340948795257525,5.296434661408084
high_assignment_quality_farms,Restricts to farms at/above median Tier A high assignment share.,Baltic,8,312,3687.333333333333,1027.5,1878.0,0.2786566624480203,0.5093111553064545,0.9366644385026738,0.3159542444310656,0.0633355614973262,0.6511606873681037,0.979510956846086,0.16987179487179488,8.645273763277288,8.078907980176714
high_assignment_quality_farms,Restricts to farms at/above median Tier A high assignment share.,North Sea,37,2215,23434.083333333332,755.3333333333334,1477.3333333333333,0.032232254301960465,0.06304207902307536,0.9235668789808917,0.8833333333333333,0.07643312101910828,0.5517241379310345,1.0,0.8514672686230248,8.645273763277288,8.078907980176714
lower_mmsi_concentration_farms,"Restricts to farms at/below median top-5 MMSI concentration, keeping no-event farms explicit.",Baltic,17,755,6987.666666666667,1732.5,4385.0,0.24793684110098743,0.6275342269713304,0.9308075772681954,0.28055555555555556,0.07070812103566601,0.304954594017094,0.964824120603015,0.3072847682119205,6.315363193213622,5.725213922382439
lower_mmsi_concentration_farms,"Restricts to farms at/below median top-5 MMSI concentration, keeping no-event farms explicit.",North Sea,99,5555,43293.33333333334,1699.6666666666665,4745.333333333334,0.0392593162919618,0.10960886972590082,0.8968311562651186,0.8666666666666667,0.10316884373488147,0.31789473684210523,1.0,0.8475247524752475,6.315363193213622,5.725213922382439
matched_source_coverage_quartiles,Pooled farms only from steady_coverage_share quartile bins containing both Baltic and North Sea farms.,Baltic,16,705,6987.666666666667,1732.5,4385.0,0.24793684110098743,0.6275342269713304,0.9308075772681954,0.28055555555555556,0.07070812103566601,0.304954594017094,0.964824120603015,0.2581560283687943,6.315363193213621,5.725213922382439
matched_source_coverage_quartiles,Pooled farms only from steady_coverage_share quartile bins containing both Baltic and North Sea farms.,North Sea,92,5493,43293.333333333336,1699.6666666666665,4745.333333333333,0.039259316291961804,0.10960886972590082,0.8968311562651186,0.8666666666666667,0.10316884373488147,0.31789473684210523,1.0,0.8458037502275624,6.315363193213621,5.725213922382439
matched_observed_zero_share_quartiles,Pooled farms only from success_no_ais_share_of_observed quartile bins containing both Baltic and North Sea farms.,Baltic,16,705,6987.666666666667,1732.5,4385.0,0.24793684110098743,0.6275342269713304,0.9308075772681954,0.28055555555555556,0.07070812103566601,0.304954594017094,0.964824120603015,0.2581560283687943,2.6953809520061514,2.3567262647545952
matched_observed_zero_share_quartiles,Pooled farms only from success_no_ais_share_of_observed quartile bins containing both Baltic and North Sea farms.,North Sea,37,2414,16625.749999999996,1529.3333333333333,4427.0,0.09198582520086815,0.2662737019382585,0.8877551020408163,0.38095238095238093,0.11224489795918367,0.24675324675324675,0.9,0.7058823529411765,2.6953809520061514,2.3567262647545952
matched_missing_source_share_quartiles,Pooled farms only from skipped_missing_source_share_of_manifest quartile bins containing both Baltic and North Sea farms.,Baltic,16,705,6987.666666666667,1732.5,4385.0,0.24793684110098743,0.6275342269713304,0.9308075772681954,0.28055555555555556,0.07070812103566601,0.304954594017094,0.964824120603015,0.2581560283687943,6.315363193213621,5.725213922382439
matched_missing_source_share_quartiles,Pooled farms only from skipped_missing_source_share_of_manifest quartile bins containing both Baltic and North Sea farms.,North Sea,92,5493,43293.333333333336,1699.6666666666665,4745.333333333333,0.039259316291961804,0.10960886972590082,0.8968311562651186,0.8666666666666667,0.10316884373488147,0.31789473684210523,1.0,0.8458037502275624,6.315363193213621,5.725213922382439
matched_assignment_quality_quartiles,Pooled farms only from tier_a_high_assignment_share quartile bins containing both Baltic and North Sea farms.,Baltic,16,705,6987.666666666667,1732.5,4385.0,0.24793684110098743,0.6275342269713304,0.9308075772681954,0.28055555555555556,0.07070812103566601,0.304954594017094,0.964824120603015,0.2581560283687943,5.721425846706798,5.186778006472207
matched_assignment_quality_quartiles,Pooled farms only from tier_a_high_assignment_share quartile bins containing both Baltic and North Sea farms.,North Sea,74,4601,39221.75,1699.6666666666665,4745.333333333333,0.043334799356649474,0.12098729233992193,0.9012328952716434,0.8333333333333333,0.09876710472835659,0.31789473684210523,1.0,0.8159095848728537,5.721425846706798,5.186778006472207
matched_mmsi_concentration_quartiles,Pooled farms only from high_confidence_top5_mmsi_share quartile bins containing both Baltic and North Sea farms.,Baltic,15,701,6927.666666666666,1732.5,4384.0,0.2500842034355002,0.6328249049704086,0.9294117647058824,0.3,0.0736196319018405,0.3454861111111111,0.964824120603015,0.25392296718972895,5.409254127652739,4.915088645717349
matched_mmsi_concentration_quartiles,Pooled farms only from high_confidence_top5_mmsi_share quartile bins containing both Baltic and North Sea farms.,North Sea,64,4063,36763.33333333333,1699.6666666666665,4733.333333333333,0.046232659352615835,0.12875147338833984,0.9016393442622951,0.803968253968254,0.09836065573770492,0.36705298013245036,1.0,0.7915333497415703,5.409254127652739,4.915088645717349
