sea_basin,mmsi,high_confidence_steady_event_count,duplicate_adjusted_high_event_count,share_of_basin_high_confidence_events,farm_count,top_farm,median_duration_min,median_vessel_length_m,vessel_category_enriched,access_technology,registry_source,registry_match_confidence
Baltic,219016663,216,216.0,0.12463935372186959,1,Lillgrund,464.8416666666667,,,,,
Baltic,219009338,163,163.0,0.09405654933641085,1,Nysted,498.6333333333333,,,,,
Baltic,219028973,102,101.5,0.058857472590882864,2,Rodsand_II,502.425,,,,,
Baltic,219018788,96,96.0,0.05539526832083093,2,Rodsand_II,540.5416666666667,,,,,
Baltic,219016747,90,90.0,0.05193306405077899,2,Kriegers_Flak,439.65,,,,,
Baltic,219023467,85,85.0,0.04904789382573572,1,Samsa,238.66666666666663,,,,,
Baltic,219001771,78,78.0,0.04500865551067513,1,Anholt,495.98333333333335,,,,,
Baltic,219017204,65,65.0,0.03750721292556261,2,Kriegers_Flak,393.73333333333335,,,,,
Baltic,211810060,54,54.0,0.031159838430467397,3,EnBW_Windpark_Baltic_2,504.01666666666665,,,,,
Baltic,219016873,51,51.0,0.029428736295441432,1,Anholt,526.4833333333333,,,,,
North Sea,218319000,83,83.0,0.048283885980221056,4,Trianel_Windpark_Borkum_2,464.98333333333335,,,,,
North Sea,219014012,73,73.0,0.04246655031995346,1,Horns_Rev_II,495.01666666666665,,,,,
North Sea,219032199,64,64.0,0.03723094822571262,4,Gode_Wind_1_and_2,472.5083333333333,,,,,
North Sea,244834000,57,57.0,0.03315881326352531,1,Horns_Rev_I,454.68333333333334,,,,,
North Sea,219019936,43,43.0,0.02501454333915067,1,Horns_Rev_II,472.4,,,,,
North Sea,219020687,37,36.0,0.02152414194299011,3,Borkum_Riffgrund_1,258.1166666666667,,,,,
North Sea,219032609,35,35.0,0.02036067481093659,1,Butendiek,420.7,,,,,
North Sea,232040897,35,35.0,0.02036067481093659,2,Dan_Tysk,395.9166666666667,,,,,
North Sea,235108046,35,35.0,0.02036067481093659,1,Horns_Rev_I,477.55,,,,,
North Sea,244103000,32,32.0,0.01861547411285631,1,Horns_Rev_I,482.0333333333333,,,,,
