hs_bin_m,0.0-0.5,0.5-1.0,1.0-1.5,1.5-2.0,2.0-2.5,2.5-3.0,3.0-3.5,3.5-4.0,4.0-4.5,4.5-5.0,5.0-5.5,5.5-6.0,6.0-6.5,6.5-7.0,7.0-7.5,7.5-8.0,8.0-8.5,8.5-9.0,9.0-9.5,9.5-10.0,10.0-10.5,10.5-11.0,11.0-11.5,11.5-12.0,12.0-12.5,12.5-13.0,13.0-13.5,13.5-14.0,14.0-14.5,14.5-15.0,15.0-15.5,15.5-16.0
0.00-0.25,0,0,0,196,470,514,180,112,104,112,49,20,38,10,3,0,4,1,2,3,6,20,2,2,2,0,0,0,0,1,0,0
0.25-0.50,0,0,0,1,49,703,1138,459,271,228,224,196,126,104,58,67,32,12,30,8,31,5,13,4,1,0,0,0,0,0,0,0
0.50-0.75,0,0,0,0,0,9,449,1187,556,200,210,251,145,162,39,38,52,19,28,32,61,8,17,2,9,9,0,3,0,5,0,3
0.75-1.00,0,0,0,0,0,0,5,324,823,394,216,202,187,111,51,81,27,10,12,11,26,8,27,8,6,1,1,2,0,1,1,4
1.00-1.25,0,0,0,0,0,0,0,3,138,349,138,160,114,92,37,57,33,10,24,7,11,3,5,2,9,0,0,1,0,1,0,0
1.25-1.50,0,0,0,0,0,0,0,0,6,56,100,71,43,42,19,25,14,8,5,3,5,4,2,2,9,1,0,1,0,2,0,0
1.50-1.75,0,0,0,0,0,0,0,0,0,5,29,32,25,23,19,19,6,4,1,0,0,4,2,0,1,1,0,0,0,0,0,0
1.75-2.00,0,0,0,0,0,0,0,0,0,0,4,10,21,13,15,17,2,3,2,0,0,1,0,0,0,0,0,1,0,1,0,0
2.00-2.25,0,0,0,0,0,0,0,0,0,0,0,1,5,5,7,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.25-2.50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2.50-2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2.75-3.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00-3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.25-3.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.50-3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.75-4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00-4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.25-4.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.50-4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.75-5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.00-5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.25-5.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.50-5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.75-6.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
